Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P01
2,1,1,0,1,1,5,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P02
3,0,0,1,1,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P03
4,1,1,1,2,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P04
5,0,0,2,2,2,5,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Disc Diva,Disc Diva_P05
6,1,1,2,3,4,18,3,1,O,1,4.0,0.0,1.0,0,1,0,0,0,Disc Diva,Disc Diva_P06
7,0,1,3,3,2,4,1,2,D,1,2.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P07
8,0,1,4,3,5,21,4,3,D,1,5.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P08
9,0,0,5,3,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P09
10,1,0,5,4,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P10
11,1,0,5,5,2,6,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P11
12,1,0,5,6,1,8,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P12
13,1,1,5,7,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P13
14,0,0,6,7,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P14
15,1,0,6,8,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P15
16,1,0,6,9,1,5,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P16
17,1,1,6,10,1,9,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P17
18,0,0,7,10,2,10,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Disc Diva,Disc Diva_P18
19,1,0,7,11,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P19
20,1,0,7,12,2,3,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P20
21,1,0,7,13,9,22,9,3,O,0,9.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P21
22,1,1,7,14,1,6,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P22
23,0,1,8,14,2,8,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P23
24,0,0,9,14,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P24
