Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,1,0,0,0,1,5,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P01
2,1,0,0,1,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P02
3,1,1,0,2,1,7,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P03
4,0,0,1,2,1,8,1,0,D,0,1.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P04
5,1,1,1,3,7,20,6,2,O,1,7.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P05
6,0,1,2,3,1,4,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P06
7,0,1,3,3,3,7,2,0,D,1,3.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P07
8,0,1,4,3,5,12,4,1,D,1,5.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P08
9,0,1,5,3,1,1,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P09
10,0,0,6,3,2,5,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P10
11,1,1,6,4,3,6,2,1,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P11
12,0,0,7,4,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Flat Ballers Association,Flat Ballers Association_P12
13,1,1,7,5,3,12,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P13
14,0,1,8,5,5,17,4,2,D,1,5.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P14
15,0,1,9,5,6,14,5,2,D,1,6.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P15
16,0,0,10,5,2,7,2,1,D,0,2.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P16
17,1,1,10,6,3,5,2,2,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P17
18,0,0,11,6,3,6,3,2,D,0,3.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P18
19,1,1,11,7,2,5,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P19
20,0,0,12,7,1,2,1,1,D,0,1.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P20
21,1,0,12,8,4,7,4,1,O,0,4.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P21
22,1,0,12,9,1,7,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P22
23,1,1,12,10,1,7,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P23
24,0,0,13,10,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Flat Ballers Association,Flat Ballers Association_P24
