Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P01
2,1,0,0,1,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P02
3,1,0,0,2,2,10,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P03
4,1,1,0,3,1,3,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P04
5,0,1,1,3,2,7,1,1,D,1,2.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P05
6,0,1,2,3,1,1,0,1,D,1,1.0,1.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P06
7,0,0,3,3,2,3,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P07
8,1,0,3,4,2,6,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P08
9,1,1,3,5,3,10,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P09
10,0,1,4,5,2,5,1,2,D,1,2.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P10
11,0,0,5,5,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P11
12,1,1,5,6,2,7,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P12
13,0,1,6,6,3,11,2,0,D,1,3.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P13
14,0,1,7,6,1,1,0,1,D,1,1.0,1.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P14
15,1,1,8,6,3,12,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P15
16,0,1,9,6,5,14,4,0,D,1,5.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P16
17,0,1,10,6,3,11,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P17
18,0,0,11,6,4,12,4,1,D,0,4.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P18
19,1,0,11,7,2,3,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P19
20,1,0,11,8,2,11,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P20
21,1,0,11,9,2,3,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P21
22,1,1,11,10,1,8,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P22
23,0,0,12,10,3,12,3,1,D,0,3.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P23
24,1,1,12,11,1,14,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P24
25,0,0,13,11,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P25
