Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Star,Star_P01
2,1,0,0,1,2,6,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Star,Star_P02
3,1,1,0,2,3,21,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Star,Star_P03
4,0,1,1,2,3,11,2,3,D,1,3.0,0.0,1.0,0,0,0,1,1,Star,Star_P04
5,0,1,2,2,3,13,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Star,Star_P05
6,0,1,3,2,1,3,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P06
7,0,1,4,2,1,10,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P07
8,0,0,5,2,4,11,4,2,D,0,4.0,0.0,0.0,0,0,0,0,1,Star,Star_P08
9,1,1,5,3,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P09
10,0,1,6,3,2,2,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Star,Star_P10
11,0,0,7,3,9,28,9,2,D,0,9.0,0.0,0.0,0,0,0,0,1,Star,Star_P11
12,1,0,7,4,1,2,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Star,Star_P12
13,1,1,7,5,2,7,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Star,Star_P13
14,1,0,8,5,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Star,Star_P14
15,1,0,8,6,3,17,3,1,O,0,3.0,0.0,0.0,0,0,1,0,0,Star,Star_P15
16,1,1,8,7,1,5,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P16
17,0,1,9,7,1,1,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P17
18,0,1,10,7,1,4,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P18
19,0,0,11,7,4,10,4,0,D,0,4.0,0.0,0.0,0,0,0,0,1,Star,Star_P19
20,1,1,11,8,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P20
21,0,0,12,8,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Star,Star_P21
