Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
1,0,1,0,0,4,9,3,0,D,1,4.0,0.0,1.0,0,0,0,1,1,Blok Choy,Blok Choy_P01
2,0,0,1,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Blok Choy,Blok Choy_P02
3,1,0,1,1,2,8,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Blok Choy,Blok Choy_P03
4,1,1,1,2,5,29,4,0,O,1,5.0,0.0,1.0,0,1,0,0,0,Blok Choy,Blok Choy_P04
5,0,0,2,2,1,4,1,0,D,0,1.0,0.0,0.0,0,0,0,0,1,Blok Choy,Blok Choy_P05
6,1,0,2,3,2,6,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Blok Choy,Blok Choy_P06
7,1,1,2,4,2,10,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Blok Choy,Blok Choy_P07
8,0,1,3,4,5,19,4,1,D,1,5.0,0.0,1.0,0,0,0,1,1,Blok Choy,Blok Choy_P08
9,0,1,4,4,2,21,1,1,D,1,2.0,0.0,1.0,0,0,0,1,1,Blok Choy,Blok Choy_P09
10,0,1,5,4,2,10,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Blok Choy,Blok Choy_P10
11,0,0,6,4,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Blok Choy,Blok Choy_P11
12,1,0,6,5,4,13,4,2,O,0,4.0,0.0,0.0,0,0,1,0,0,Blok Choy,Blok Choy_P12
13,1,1,6,6,1,5,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Blok Choy,Blok Choy_P13
14,0,0,7,6,1,4,1,0,D,0,1.0,0.0,0.0,0,0,0,0,1,Blok Choy,Blok Choy_P14
15,1,1,7,7,1,11,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Blok Choy,Blok Choy_P15
16,1,0,8,7,1,6,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Blok Choy,Blok Choy_P16
17,1,0,8,8,0,0,0,0,O,0,0.0,0.0,0.0,0,0,1,0,0,Blok Choy,Blok Choy_P17
1,1,0,0,0,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P01
2,1,0,0,1,5,24,5,0,O,0,5.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P02
3,1,0,0,2,3,9,3,1,O,0,3.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P03
4,1,0,0,3,1,2,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P04
5,1,0,0,4,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P05
6,1,1,0,5,1,6,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Cookit Cutters,Cookit Cutters_P06
